Iteration,Time Elapsed (s)
1,51.518
2,50.001
3,47.104
4,47.217
5,46.594
6,47.088
7,48.702
8,49.785
9,56.065
10,55.906
11,49.815
12,49.305
13,51.183
14,48.653
15,53.301
16,48.789
17,55.947
18,51.189
19,53.933
20,51.712
